DTXSID,scaffold_split,random_split
DTXSID0023909,test,train
DTXSID9023914,train,train
DTXSID4023917,train,train
DTXSID8023927,train,train
DTXSID7023930,train,val
DTXSID7023932,train,train
DTXSID7023936,train,train
DTXSID2023937,train,train
DTXSID7023938,train,train
DTXSID6023947,train,train
DTXSID5023950,train,val
DTXSID0023951,test,train
DTXSID9023966,train,test
DTXSID8023971,train,train
DTXSID8023973,train,train
DTXSID3023974,train,val
DTXSID8023977,train,train
DTXSID7023980,train,train
DTXSID1023990,train,val
DTXSID6023997,train,train
DTXSID1023998,train,train
DTXSID6023999,train,train
DTXSID0024000,train,train
DTXSID0024002,train,val
DTXSID4024012,train,test
DTXSID4024014,train,train
DTXSID9024015,train,train
DTXSID4024018,train,train
DTXSID2024030,train,train
DTXSID7024035,train,train
DTXSID2024038,train,train
DTXSID1024045,train,train
DTXSID6024046,train,val
DTXSID6024048,test,train
DTXSID1024049,train,train
DTXSID5024051,train,val
DTXSID0024052,val,train
DTXSID5024055,train,train
DTXSID5024057,train,val
DTXSID4024062,train,train
DTXSID9024063,train,train
DTXSID4024064,train,train
DTXSID9024065,train,train
DTXSID4024066,train,train
DTXSID8024072,train,train
DTXSID3024077,val,train
DTXSID7024081,test,train
DTXSID7024085,train,train
DTXSID2024086,train,test
DTXSID7024087,train,train
DTXSID1024091,train,test
DTXSID1024097,train,train
DTXSID3024100,train,train
DTXSID8024101,train,train
DTXSID3024102,train,train
DTXSID3024104,val,train
DTXSID8024105,train,val
DTXSID8024107,test,train
DTXSID3024108,train,train
DTXSID8024109,train,train
DTXSID7024110,val,test
DTXSID7024112,train,train
DTXSID2024113,train,train
DTXSID6024123,train,train
DTXSID1024124,val,train
DTXSID1024126,test,train
DTXSID6024127,train,train
DTXSID1024128,train,train
DTXSID4024143,train,train
DTXSID4024145,val,train
DTXSID8024151,test,train
DTXSID3024152,test,train
DTXSID3024154,val,train
DTXSID8024157,train,train
DTXSID8024159,test,train
DTXSID7024160,train,train
DTXSID2024163,train,train
DTXSID7024164,test,train
DTXSID7024166,test,test
DTXSID1024170,train,train
DTXSID1024174,train,train
DTXSID6024175,train,train
DTXSID1024176,train,train
DTXSID6024177,train,val
DTXSID5024182,train,train
DTXSID0024183,train,train
DTXSID0024185,train,test
DTXSID4024193,train,val
DTXSID9024194,train,train
DTXSID4024195,train,test
DTXSID6024200,train,val
DTXSID6024204,val,test
DTXSID6024206,train,train
DTXSID1024209,train,test
DTXSID5024211,train,train
DTXSID0024216,train,train
DTXSID4024222,train,train
DTXSID8024234,val,train
DTXSID3024235,test,test
DTXSID8024238,train,train
DTXSID3024239,test,train
DTXSID7024241,train,train
DTXSID2024242,train,train
DTXSID7024245,train,train
DTXSID7024247,train,train
DTXSID6024254,train,train
DTXSID1024255,val,train
DTXSID1024259,train,train
DTXSID5024261,train,train
DTXSID0024266,train,test
DTXSID5024269,train,val
DTXSID4024270,test,train
DTXSID4024272,train,test
DTXSID4024274,train,train
DTXSID4024276,test,train
DTXSID8024280,train,train
DTXSID8024284,train,train
DTXSID8024286,test,train
DTXSID3024287,train,test
DTXSID3024289,train,train
DTXSID7024291,train,train
DTXSID7024299,test,train
DTXSID4024303,train,train
DTXSID9024304,val,train
DTXSID8024311,train,train
DTXSID8024315,train,train
DTXSID3024316,train,train
DTXSID8024317,train,train
DTXSID3024318,train,test
DTXSID7024320,train,train
DTXSID7024328,train,train
DTXSID6024337,train,train
DTXSID1024338,train,train
DTXSID0024341,train,test
DTXSID5024344,train,test
DTXSID0024345,train,train
DTXSID5024346,train,train
DTXSID4024359,train,train
DTXSID3024362,train,train
DTXSID3024366,train,train
DTXSID3024368,train,train
DTXSID7024370,train,train
DTXSID7024376,train,test
DTXSID5024392,train,val
DTXSID0024395,train,train
DTXSID0024397,train,val
DTXSID0024399,train,test
DTXSID7024409,train,train
DTXSID6024412,train,test
DTXSID1024413,train,test
DTXSID6024414,train,train
DTXSID9024431,train,test
DTXSID4024436,train,train
DTXSID9024437,train,train
DTXSID3024441,train,train
DTXSID8024442,train,test
DTXSID3024447,train,train
DTXSID8024448,train,val
DTXSID3024449,train,train
DTXSID2024452,train,train
DTXSID2024454,train,train
DTXSID7024455,train,val
DTXSID7024457,train,train
DTXSID2024458,train,test
DTXSID6024460,train,train
DTXSID6024462,train,train
DTXSID1024463,train,train
DTXSID1024465,train,train
DTXSID6024466,train,train
DTXSID1024467,train,val
DTXSID0024470,train,train
DTXSID5024471,train,train
DTXSID5024473,train,train
DTXSID0024474,train,train
DTXSID0024478,train,train
DTXSID5024479,train,val
DTXSID9024481,train,train
DTXSID9024483,train,train
DTXSID4024484,train,val
DTXSID9024485,train,val
DTXSID9024487,train,train
DTXSID4024488,train,train
DTXSID9024489,train,train
DTXSID3024491,train,test
DTXSID3024497,train,train
DTXSID8024498,train,train
DTXSID3024499,train,train
DTXSID5024500,train,val
DTXSID0024501,val,test
DTXSID0024503,train,val
DTXSID5024504,train,train
DTXSID0024505,train,test
DTXSID5024506,train,train
DTXSID0024507,train,train
DTXSID5024508,train,train
DTXSID0024509,train,train
DTXSID9024512,train,train
DTXSID8024521,train,train
DTXSID3024522,train,train
DTXSID8024523,val,train
DTXSID8024529,train,train
DTXSID7024538,val,train
DTXSID0024553,train,test
DTXSID5024554,val,val
DTXSID0024555,val,train
DTXSID0024559,train,train
DTXSID9024568,train,val
DTXSID8024573,train,train
DTXSID3024574,train,train
DTXSID7024580,train,val
DTXSID2024585,test,train
DTXSID7024586,train,train
DTXSID2024589,train,val
DTXSID6024591,test,train
DTXSID6024597,test,train
DTXSID1024598,train,train
DTXSID6024599,test,train
DTXSID8024600,train,train
DTXSID8024602,test,val
DTXSID8024608,test,test
DTXSID1024621,train,test
DTXSID6024622,test,train
DTXSID6024624,val,val
DTXSID1024625,val,train
DTXSID6024628,train,test
DTXSID1024629,train,val
DTXSID5024637,train,train
DTXSID0024638,train,train
DTXSID5024639,train,val
DTXSID4024640,train,test
DTXSID9024641,train,train
DTXSID4024642,train,train
DTXSID4024644,train,train
DTXSID4024646,train,train
DTXSID8024652,train,train
DTXSID3024657,train,test
DTXSID8024658,train,val
DTXSID3024659,train,train
DTXSID2024660,train,val
DTXSID7024661,train,train
DTXSID2024662,val,train
DTXSID2024664,train,train
DTXSID2024666,train,train
DTXSID7024667,test,train
DTXSID6024670,train,train
DTXSID6024674,train,val
DTXSID6024676,train,train
DTXSID5024681,train,train
DTXSID5024683,train,train
DTXSID5024687,train,val
DTXSID4024690,train,train
DTXSID9024691,train,train
DTXSID4024692,train,train
DTXSID4024696,train,train
DTXSID9024699,train,test
DTXSID1024702,train,val
DTXSID1024704,train,train
DTXSID5024710,train,train
DTXSID9024724,train,train
DTXSID4024729,train,val
DTXSID8024733,train,train
DTXSID3024736,train,train
DTXSID3024738,train,train
DTXSID8024739,test,train
DTXSID2024747,train,val
DTXSID0024761,train,train
DTXSID5024764,train,train
DTXSID9024770,train,train
DTXSID4024771,train,train
DTXSID9024772,train,val
DTXSID4024773,train,test
DTXSID9024774,train,val
DTXSID4024775,train,train
DTXSID8024781,train,test
DTXSID8024783,train,train
DTXSID3024786,test,train
DTXSID8024787,train,val
DTXSID2024791,train,val
DTXSID2024793,train,val
DTXSID2024797,train,train
DTXSID7024798,train,train
DTXSID2024799,train,val
DTXSID4024800,train,train
DTXSID8024810,train,train
DTXSID8024814,train,val
DTXSID3024815,train,train
DTXSID7024821,train,train
DTXSID2024822,train,val
DTXSID1024831,train,train
DTXSID6024832,train,train
DTXSID6024834,train,train
DTXSID6024836,train,train
DTXSID5024845,val,train
DTXSID9024855,train,train
DTXSID8024862,train,train
DTXSID8024864,train,val
DTXSID8024866,train,train
DTXSID3024869,train,train
DTXSID7024873,train,val
DTXSID7024875,val,val
DTXSID2024878,train,test
DTXSID6024880,val,train
DTXSID1024881,train,test
DTXSID6024882,val,test
DTXSID1024885,val,test
DTXSID6024886,train,test
DTXSID1024887,test,train
DTXSID6024888,train,val
DTXSID0024890,train,val
DTXSID7024902,test,train
DTXSID6024911,train,train
DTXSID1024912,train,train
DTXSID6024913,train,test
DTXSID6024915,train,train
DTXSID1024916,train,train
DTXSID6024917,train,val
DTXSID1024918,train,train
DTXSID0024921,train,val
DTXSID5024922,train,train
DTXSID0024923,train,train
DTXSID5024926,train,train
DTXSID9024930,train,train
DTXSID4024931,train,train
DTXSID9024934,test,test
DTXSID4024937,test,train
DTXSID3024940,train,train
DTXSID8024941,train,train
DTXSID3024942,train,test
DTXSID3024944,train,val
DTXSID8024947,train,train
DTXSID7024952,train,train
DTXSID2024953,train,train
DTXSID2024955,train,train
DTXSID7024956,train,train
DTXSID6024961,train,train
DTXSID6024965,train,train
DTXSID1024966,train,train
DTXSID6024967,train,train
DTXSID5024970,train,val
DTXSID0024971,train,train
DTXSID5024976,train,train
DTXSID0024977,train,train
DTXSID5024978,train,train
DTXSID0024979,train,train
DTXSID9024980,train,train
DTXSID4024981,train,train
DTXSID4024985,train,test
DTXSID9024986,train,train
DTXSID8024993,train,train
DTXSID8024997,train,train
DTXSID3024998,train,val
DTXSID8024999,train,train
DTXSID7025001,train,train
DTXSID7025003,train,train
DTXSID2025004,train,train
DTXSID7025005,train,train
DTXSID2025006,train,train
DTXSID6025010,train,train
DTXSID6025012,train,val
DTXSID1025013,train,train
DTXSID6025014,train,val
DTXSID1025017,test,train
DTXSID6025018,val,val
DTXSID5025021,val,train
DTXSID5025023,val,test
DTXSID9025035,train,test
DTXSID9025037,train,train
DTXSID8025040,train,train
DTXSID3025041,train,train
DTXSID3025045,train,train
DTXSID8025046,train,train
DTXSID3025047,train,train
DTXSID3025049,train,train
DTXSID2025050,train,test
DTXSID7025051,train,train
DTXSID7025053,train,train
DTXSID7025055,train,train
DTXSID2025058,train,train
DTXSID1025063,train,train
DTXSID6025064,train,train
DTXSID1025065,test,train
DTXSID6025068,train,train
DTXSID0025070,val,train
DTXSID0025074,train,train
DTXSID0025076,train,train
DTXSID0025078,train,train
DTXSID5025079,train,train
DTXSID4025080,train,train
DTXSID4025082,train,train
DTXSID9025085,train,train
DTXSID4025086,train,train
DTXSID3025093,train,val
DTXSID8025094,train,train
DTXSID8025096,train,train
DTXSID5025100,train,train
DTXSID0025101,train,train
DTXSID5025102,train,train
DTXSID9025110,train,train
DTXSID4025111,train,train
DTXSID9025112,train,test
DTXSID4025113,train,train
DTXSID9025114,train,train
DTXSID4025117,train,test
DTXSID3025122,train,train
DTXSID7025132,train,test
DTXSID2025133,train,train
DTXSID7025134,train,test
DTXSID2025135,train,train
DTXSID7025136,train,train
DTXSID2025137,train,train
DTXSID7025138,train,train
DTXSID2025139,train,train
DTXSID6025141,train,test
DTXSID6025143,train,train
DTXSID6025145,train,val
DTXSID1025148,train,train
DTXSID6025149,train,train
DTXSID5025150,train,test
DTXSID5025152,train,train
DTXSID5025156,train,train
DTXSID9025164,train,test
DTXSID4025165,train,test
DTXSID9025166,train,train
DTXSID4025167,train,train
DTXSID3025178,val,train
DTXSID7025180,train,train
DTXSID2025183,train,train
DTXSID2025185,train,train
DTXSID3025203,train,train
DTXSID3025209,val,train
DTXSID7025215,train,val
DTXSID7025217,train,train
DTXSID6025220,train,train
DTXSID1025221,train,test
DTXSID6025226,train,train
DTXSID5025231,train,train
DTXSID0025234,train,test
DTXSID5025237,train,train
DTXSID4025240,train,train
DTXSID4025242,train,train
DTXSID9025243,train,test
DTXSID9025245,train,val
DTXSID9025249,train,train
DTXSID3025253,val,train
DTXSID3025257,train,train
DTXSID8025258,test,val
DTXSID7025269,train,val
DTXSID1025271,train,train
DTXSID6025272,train,train
DTXSID6025276,train,train
DTXSID6025278,train,train
DTXSID1025279,train,train
DTXSID5025285,train,test
DTXSID0025286,train,train
DTXSID9025291,train,train
DTXSID4025292,train,train
DTXSID9025293,train,val
DTXSID4025296,train,train
DTXSID9025297,train,train
DTXSID4025298,train,test
DTXSID9025299,train,train
DTXSID1025300,train,train
DTXSID6025301,train,val
DTXSID1025302,train,train
DTXSID6025303,train,train
DTXSID1025304,train,train
DTXSID1025306,test,train
DTXSID6025307,train,train
DTXSID1025308,train,val
DTXSID6025309,train,train
DTXSID5025310,train,train
DTXSID5025312,train,train
DTXSID0025315,train,val
DTXSID5025318,train,test
DTXSID9025324,test,test
DTXSID9025328,train,train
DTXSID4025329,train,test
DTXSID3025330,train,test
DTXSID8025331,train,train
DTXSID3025332,train,val
DTXSID8025337,train,train
DTXSID3025338,train,train
DTXSID7025342,train,train
DTXSID2025345,train,train
DTXSID7025346,train,train
DTXSID2025347,train,val
DTXSID6025355,train,train
DTXSID0025361,train,test
DTXSID0025363,train,train
DTXSID5025364,train,train
DTXSID0025367,val,val
DTXSID9025370,train,train
DTXSID4025371,train,train
DTXSID7025390,train,train
DTXSID2025391,train,train
DTXSID2025395,train,train
DTXSID9025401,train,train
DTXSID4025402,train,test
DTXSID9025403,train,train
DTXSID4025404,train,train
DTXSID4025406,train,train
DTXSID9025409,val,train
DTXSID7025421,train,train
DTXSID2025422,train,train
DTXSID7025423,train,train
DTXSID7025427,train,train
DTXSID7025429,test,train
DTXSID1025431,train,train
DTXSID1025437,train,train
DTXSID6025438,train,train
DTXSID0025440,train,train
DTXSID5025447,train,train
DTXSID5025449,train,val
DTXSID9025453,train,train
DTXSID4025454,train,train
DTXSID9025455,train,train
DTXSID3025461,train,train
DTXSID8025464,train,train
DTXSID3025465,train,train
DTXSID8025466,train,train
DTXSID3025469,train,val
DTXSID2025474,train,train
DTXSID2025478,train,train
DTXSID7025479,train,train
DTXSID6025480,train,val
DTXSID1025481,train,train
DTXSID1025483,train,val
DTXSID1025485,train,train
DTXSID5025491,train,train
DTXSID0025492,train,train
DTXSID0025494,train,train
DTXSID2025501,train,train
DTXSID7025502,train,val
DTXSID2025503,train,train
DTXSID2025505,train,test
DTXSID7025506,train,train
DTXSID7025508,val,train
DTXSID0025523,train,train
DTXSID0025527,train,train
DTXSID9025534,val,test
DTXSID9025536,test,val
DTXSID9025538,val,train
DTXSID3025540,train,train
DTXSID3025542,train,train
DTXSID3025548,test,train
DTXSID2025551,train,val
DTXSID7025556,train,train
DTXSID2025557,train,train
DTXSID7025558,train,train
DTXSID1025560,train,test
DTXSID6025565,train,train
DTXSID6025567,train,train
DTXSID6025569,train,train
DTXSID5025570,train,train
DTXSID0025571,train,val
DTXSID5025572,train,train
DTXSID5025574,train,test
DTXSID0025577,train,train
DTXSID9025580,train,train
DTXSID4025581,val,test
DTXSID4025587,train,val
DTXSID9025588,train,train
DTXSID3025590,train,train
DTXSID8025591,train,test
DTXSID8025593,train,train
DTXSID8025595,train,train
DTXSID8025599,train,val
DTXSID5025603,train,train
DTXSID0025604,train,train
DTXSID5025607,train,train
DTXSID5025609,train,val
DTXSID4025610,train,train
DTXSID9025611,train,train
DTXSID4025612,train,train
DTXSID9025617,train,train
DTXSID8025628,train,test
DTXSID3025629,train,train
DTXSID2025632,train,train
DTXSID7025633,train,train
DTXSID2025634,train,train
DTXSID7025635,train,test
DTXSID7025637,train,train
DTXSID7025639,train,train
DTXSID6025640,train,train
DTXSID1025641,train,train
DTXSID6025642,train,train
DTXSID1025649,train,val
DTXSID5025653,train,train
DTXSID0025654,train,train
DTXSID5025657,train,train
DTXSID5025659,train,val
DTXSID9025661,train,val
DTXSID4025662,train,train
DTXSID9025665,train,train
DTXSID4025668,train,train
DTXSID8025670,train,train
DTXSID3025671,train,train
DTXSID2025680,train,train
DTXSID2025688,train,train
DTXSID7025689,train,train
DTXSID6025690,train,train
DTXSID6025692,train,val
DTXSID1025693,train,val
DTXSID6025696,train,test
DTXSID8025703,train,train
DTXSID3025706,test,val
DTXSID2025715,train,train
DTXSID7025716,train,train
DTXSID1025722,train,train
DTXSID6025723,train,train
DTXSID1025724,train,train
DTXSID6025725,train,test
DTXSID1025726,train,test
DTXSID5025730,train,val
DTXSID5025732,train,test
DTXSID0025733,train,train
DTXSID0025737,train,train
DTXSID5025738,train,test
DTXSID9025740,train,test
DTXSID4025741,train,val
DTXSID9025742,train,train
DTXSID4025743,train,val
DTXSID9025744,train,test
DTXSID4025745,train,test
DTXSID9025746,train,train
DTXSID4025749,train,train
DTXSID8025751,train,test
DTXSID8025757,train,val
DTXSID3025758,train,train
DTXSID8025759,train,train
DTXSID2025761,train,val
DTXSID2025763,train,test
DTXSID7025764,train,train
DTXSID2025765,train,train
DTXSID7025768,train,val
DTXSID1025770,train,test
DTXSID1025774,test,test
DTXSID6025775,train,train
DTXSID1025776,train,val
DTXSID0025789,train,train
DTXSID4025791,train,train
DTXSID4025793,train,train
DTXSID9025794,train,train
DTXSID9025796,train,train
DTXSID6025804,train,train
DTXSID1025805,train,train
DTXSID1025807,train,test
DTXSID1025809,train,train
DTXSID5025811,train,train
DTXSID0025812,train,train
DTXSID0025814,train,train
DTXSID5025815,train,train
DTXSID0025816,train,train
DTXSID0025818,val,val
DTXSID5025819,val,train
DTXSID9025825,val,train
DTXSID8025830,train,test
DTXSID3025839,train,test
DTXSID2025840,train,train
DTXSID2025842,train,train
DTXSID2025846,train,train
DTXSID7025849,train,val
DTXSID6025850,train,train
DTXSID1025851,train,train
DTXSID1025853,train,train
DTXSID6025854,train,train
DTXSID1025857,test,train
DTXSID5025861,train,train
DTXSID0025862,train,train
DTXSID5025863,train,train
DTXSID0025864,train,train
DTXSID0025866,train,val
DTXSID9025873,train,test
DTXSID9025879,train,train
DTXSID8025886,train,train
DTXSID8025888,train,val
DTXSID3025889,train,train
DTXSID2025892,val,train
DTXSID2025896,train,test
DTXSID4025903,test,val
DTXSID7025922,val,train
DTXSID7025924,train,val
DTXSID2025925,train,train
DTXSID7025926,train,train
DTXSID1025930,train,test
DTXSID6025939,train,test
DTXSID8025963,train,test
DTXSID8025967,train,val
DTXSID8025969,test,test
DTXSID7025972,test,train
DTXSID2025975,val,val
DTXSID2025977,train,train
DTXSID6025983,train,train
DTXSID0025991,train,test
DTXSID0025997,train,val
DTXSID4026000,train,val
DTXSID8026018,test,train
DTXSID2026022,train,test
DTXSID7026029,test,test
DTXSID1026031,train,test
DTXSID1026033,train,val
DTXSID0026040,train,train
DTXSID0026044,train,val
DTXSID5026049,train,test
DTXSID9026053,train,train
DTXSID9026059,train,train
DTXSID8026060,train,val
DTXSID8026064,train,test
DTXSID3026065,train,val
DTXSID3026067,val,train
DTXSID8026068,train,val
DTXSID2026074,train,train
DTXSID6026080,train,val
DTXSID1026081,train,train
DTXSID6026082,train,val
DTXSID1026083,train,test
DTXSID6026084,train,train
DTXSID6026088,train,test
DTXSID1026089,train,val
DTXSID5026091,train,train
DTXSID5026097,train,train
DTXSID0026098,train,train
DTXSID2026101,train,train
DTXSID7026102,train,train
DTXSID2026107,train,test
DTXSID7026108,train,test
DTXSID1026112,val,train
DTXSID6026115,val,train
DTXSID1026118,train,val
DTXSID6026119,train,test
DTXSID5026120,train,val
DTXSID5026122,train,train
DTXSID0026125,train,train
DTXSID9026130,train,val
DTXSID9026132,train,train
DTXSID4026137,train,train
DTXSID4026139,val,train
DTXSID8026141,train,val
DTXSID8026145,train,val
DTXSID8026147,val,train
DTXSID3026148,val,test
DTXSID2026151,train,train
DTXSID7026156,train,train
DTXSID2026157,train,train
DTXSID6026161,train,train
DTXSID6026167,train,val
DTXSID6026169,train,train
DTXSID0026173,train,train
DTXSID5026174,train,train
DTXSID0026175,train,train
DTXSID4026181,train,train
DTXSID4026183,train,train
DTXSID3026190,train,train
DTXSID8026193,train,train
DTXSID8026195,train,train
DTXSID0026202,train,train
DTXSID5026203,train,train
DTXSID0026204,train,train
DTXSID5026205,train,train
DTXSID5026207,train,train
DTXSID0026208,train,train
DTXSID5026209,train,train
DTXSID4026212,train,train
DTXSID4026214,train,train
DTXSID8026220,train,train
DTXSID3026223,train,train
DTXSID8026224,train,train
DTXSID8026228,train,train
DTXSID7026231,train,test
DTXSID2026232,train,val
DTXSID7026235,train,train
DTXSID2026238,train,test
DTXSID6026240,train,test
DTXSID1026241,train,train
DTXSID5026251,test,train
DTXSID0026252,val,train
DTXSID0026258,train,test
DTXSID5026259,train,train
DTXSID9026261,train,train
DTXSID4026262,test,train
DTXSID9026265,train,test
DTXSID4026266,train,train
DTXSID4026268,train,train
DTXSID8026270,train,train
DTXSID3026275,train,test
DTXSID3026279,train,train
DTXSID7026285,train,test
DTXSID1026293,val,train
DTXSID6026294,train,train
DTXSID6026298,train,val
DTXSID8026303,train,train
DTXSID3026304,train,train
DTXSID3026306,train,test
DTXSID8026307,train,val
DTXSID3026308,train,train
DTXSID8026309,train,train
DTXSID7026314,val,train
DTXSID6026325,train,train
DTXSID0026339,train,train
DTXSID9026342,train,test
DTXSID7026366,train,train
DTXSID0026418,train,val
DTXSID4026422,train,train
DTXSID9026423,train,train
DTXSID8026432,train,test
DTXSID8026436,train,train
DTXSID7026441,train,test
DTXSID2026444,train,train
DTXSID2026446,train,test
DTXSID2026448,train,train
DTXSID6026450,train,train
DTXSID1026457,train,train
DTXSID5026461,train,test
DTXSID4026472,train,train
DTXSID8026488,val,train
DTXSID2026494,val,test
DTXSID2026496,train,test
DTXSID7026499,train,val
DTXSID9026500,train,test
DTXSID4026501,test,train
DTXSID4026505,test,train
DTXSID3026512,train,train
DTXSID8026513,train,val
DTXSID3026514,train,train
DTXSID8026515,test,test
DTXSID3026516,test,train
DTXSID8026519,train,test
DTXSID7026520,train,test
DTXSID2026523,train,val
DTXSID2026525,train,train
DTXSID7026526,train,train
DTXSID2026527,train,train
DTXSID7026528,train,val
DTXSID2026529,train,train
DTXSID6026535,train,train
DTXSID1026536,val,train
DTXSID5026544,val,train
DTXSID0026547,train,val
DTXSID5026548,train,train
DTXSID0026549,train,train
DTXSID4026557,train,train
DTXSID9026558,train,train
DTXSID3026560,train,train
DTXSID3026562,train,val
DTXSID8026563,train,train
DTXSID3026564,train,train
DTXSID3026566,train,train
DTXSID7026572,train,train
DTXSID2026573,test,test
DTXSID2026600,train,test
DTXSID2026602,train,train
DTXSID7026605,train,train
DTXSID2026606,val,train
DTXSID2026608,train,train
DTXSID7026609,train,train
DTXSID6026612,train,train
DTXSID1026615,train,train
DTXSID1026619,train,train
DTXSID5026623,train,test
DTXSID5026625,train,train
DTXSID9026631,train,test
DTXSID9026633,train,train
DTXSID8026640,train,val
DTXSID3026641,train,test
DTXSID3026645,train,train
DTXSID3026647,train,train
DTXSID2026652,train,train
DTXSID7026653,train,train
DTXSID7026655,train,train
DTXSID1026661,train,val
DTXSID6026664,train,train
DTXSID1026665,train,val
DTXSID1026667,train,train
DTXSID0026676,train,train
DTXSID4026684,train,test
DTXSID9026689,train,val
DTXSID3026691,train,test
DTXSID8026694,train,train
DTXSID3026697,train,train
DTXSID8026698,val,train
DTXSID0026701,train,train
DTXSID5026702,train,train
DTXSID5026706,val,train
DTXSID9026710,train,val
DTXSID4026711,train,train
DTXSID9026712,train,val
DTXSID4026713,train,train
DTXSID9026714,train,train
DTXSID4026715,train,train
DTXSID9026716,train,train
DTXSID9026718,train,val
DTXSID3026724,train,train
DTXSID8026725,train,train
DTXSID3026726,train,train
DTXSID8026727,train,train
DTXSID8026729,train,train
DTXSID2026739,train,train
DTXSID1026740,train,train
DTXSID4026765,train,train
DTXSID9026766,train,train
DTXSID4026769,train,train
DTXSID8026773,train,train
DTXSID8026775,train,train
DTXSID2026781,train,train
DTXSID2026783,train,train
DTXSID2026789,train,val
DTXSID1026796,train,train
DTXSID6026797,train,train
DTXSID6026799,train,test
DTXSID8026802,train,train
DTXSID7026811,train,train
DTXSID6026824,train,train
DTXSID0026830,train,val
DTXSID5026837,train,train
DTXSID0026838,train,test
DTXSID9026841,train,train
DTXSID4026842,train,train
DTXSID9026849,train,train
DTXSID3026851,train,train
DTXSID7026863,train,train
DTXSID2026864,train,train
DTXSID7026867,train,train
DTXSID6026872,train,train
DTXSID6026878,train,train
DTXSID1026879,train,val
DTXSID0026880,train,train
DTXSID5026881,train,val
DTXSID0026882,train,train
DTXSID0026888,test,train
DTXSID5026889,train,train
DTXSID4026894,train,train
DTXSID9026899,train,train
DTXSID1026900,train,val
DTXSID6026901,train,train
DTXSID1026902,train,train
DTXSID1026904,train,val
DTXSID6026905,train,train
DTXSID1026906,train,train
DTXSID1026908,train,test
DTXSID5026912,train,train
DTXSID0026913,train,train
DTXSID5026914,train,train
DTXSID0026915,train,train
DTXSID5026918,train,test
DTXSID4026921,train,train
DTXSID9026922,train,train
DTXSID9026924,train,train
DTXSID9026926,train,train
DTXSID4026927,train,train
DTXSID8026931,train,train
DTXSID3026932,train,train
DTXSID8026933,train,test
DTXSID8026935,train,train
DTXSID2026941,val,train
DTXSID2026943,train,train
DTXSID7026946,train,train
DTXSID1026954,train,train
DTXSID6026955,test,train
DTXSID0026961,train,train
DTXSID0026967,val,test
DTXSID9026974,train,train
DTXSID4026975,train,train
DTXSID4026979,train,train
DTXSID8026981,train,val
DTXSID3026984,train,train
DTXSID2026991,train,train
DTXSID7026994,train,train
DTXSID2026997,train,train
DTXSID7026998,train,test
DTXSID1027007,train,train
DTXSID0027014,train,val
DTXSID5027019,train,train
DTXSID9027021,train,train
DTXSID8027032,train,train
DTXSID8027034,train,test
DTXSID8027036,train,train
DTXSID3027037,val,train
DTXSID3027039,train,train
DTXSID7027041,train,train
DTXSID7027047,train,train
DTXSID2027048,train,train
DTXSID7027049,val,train
DTXSID6027052,train,train
DTXSID5027061,train,train
DTXSID0027066,train,train
DTXSID5027069,train,train
DTXSID8027084,train,train
DTXSID3027085,train,train
DTXSID8027086,train,train
DTXSID2027092,train,train
DTXSID2027094,train,train
DTXSID2027096,train,train
DTXSID2027098,train,train
DTXSID7027099,train,train
DTXSID4027103,train,train
DTXSID9027104,train,train
DTXSID4027109,train,train
DTXSID8027113,train,train
DTXSID3027116,val,train
DTXSID7027120,train,train
DTXSID7027122,train,val
DTXSID6027131,train,train
DTXSID6027133,train,val
DTXSID1027134,train,val
DTXSID6027137,train,train
DTXSID5027142,train,val
DTXSID0027143,train,train
DTXSID5027146,train,val
DTXSID5027148,train,train
DTXSID0027149,train,train
DTXSID4027153,train,train
DTXSID9027158,train,train
DTXSID4027159,val,val
DTXSID8027167,train,train
DTXSID8027169,train,train
DTXSID7027174,train,val
DTXSID2027175,val,test
DTXSID7027178,train,train
DTXSID6027181,train,train
DTXSID1027184,test,train
DTXSID6027185,val,val
DTXSID1027186,train,train
DTXSID1027188,train,train
DTXSID0027191,val,test
DTXSID0027195,train,train
DTXSID0027197,train,train
DTXSID5027198,train,train
DTXSID2027200,test,train
DTXSID7027201,train,train
DTXSID2027204,train,test
DTXSID7027205,val,train
DTXSID2027206,train,train
DTXSID1027211,train,val
DTXSID6027218,train,test
DTXSID0027222,test,train
DTXSID5027223,train,train
DTXSID5027227,train,val
DTXSID0027228,train,train
DTXSID9027233,train,train
DTXSID4027234,train,train
DTXSID4027236,train,test
DTXSID9027239,train,val
DTXSID8027240,train,train
DTXSID3027241,train,test
DTXSID8027244,train,test
DTXSID8027246,train,train
DTXSID3027247,train,val
DTXSID3027249,train,train
DTXSID2027254,train,train
DTXSID2027258,train,test
DTXSID7027259,train,train
DTXSID1027263,train,train
DTXSID1027265,train,val
DTXSID6027266,train,train
DTXSID1027267,train,train
DTXSID6027268,train,train
DTXSID1027269,train,train
DTXSID0027270,train,val
DTXSID4027280,train,train
DTXSID9027281,train,train
DTXSID4027282,train,train
DTXSID4027284,val,train
DTXSID4027286,train,val
DTXSID4027288,train,test
DTXSID3027291,train,test
DTXSID8027292,train,train
DTXSID3027293,train,train
DTXSID8027294,train,val
DTXSID3027295,train,val
DTXSID3027297,train,train
DTXSID5027300,train,train
DTXSID0027301,train,train
DTXSID5027302,train,train
DTXSID5027304,train,val
DTXSID5027308,train,train
